6.18E+11,1.73E+12,476629
6.18E+11,1.73E+12,475819
6.18E+11,1.73E+12,475083
6.18E+11,1.73E+12,474571
6.18E+11,1.73E+12,474042
6.18E+11,1.73E+12,473804
6.18E+11,1.73E+12,473477
6.18E+11,1.73E+12,473399
6.18E+11,1.73E+12,473138
6.18E+11,1.73E+12,472549
6.18E+11,1.73E+12,471364
6.18E+11,1.73E+12,469675
6.18E+11,1.73E+12,468324
6.18E+11,1.73E+12,467170
6.18E+11,1.73E+12,466409
6.18E+11,1.73E+12,465994
6.18E+11,1.73E+12,465432
6.18E+11,1.73E+12,465144
6.18E+11,1.73E+12,464888
6.18E+11,1.73E+12,465720
6.18E+11,1.73E+12,465749
6.18E+11,1.73E+12,465861
6.18E+11,1.73E+12,466219
6.19E+11,1.73E+12,465731
6.19E+11,1.73E+12,464294
6.19E+11,1.73E+12,462649
6.19E+11,1.73E+12,460936
6.19E+11,1.73E+12,459704
6.19E+11,1.73E+12,458800
6.19E+11,1.73E+12,457938
6.19E+11,1.73E+12,457197
6.19E+11,1.73E+12,456612
6.19E+11,1.73E+12,456022
6.19E+11,1.73E+12,1508065
6.19E+11,1.73E+12,1507003
6.19E+11,1.73E+12,1506365
6.19E+11,1.73E+12,1506121
6.19E+11,1.73E+12,1505833
6.19E+11,1.73E+12,1503146
6.19E+11,1.73E+12,1498401
6.19E+11,1.73E+12,1493138
6.19E+11,1.73E+12,1488777
6.19E+11,1.73E+12,1485532
6.19E+11,1.73E+12,1483420
6.19E+11,1.73E+12,1481525
6.19E+11,1.73E+12,1479766
6.19E+11,1.73E+12,1478511
6.19E+11,1.73E+12,1477703
6.20E+11,1.73E+12,1477645
6.20E+11,1.73E+12,1477750
6.20E+11,1.73E+12,1478385
6.20E+11,1.73E+12,1479539
6.20E+11,1.73E+12,1481101
6.20E+11,1.73E+12,1482149
6.20E+11,1.73E+12,1480150
6.20E+11,1.73E+12,1477068
6.20E+11,1.73E+12,1474490
6.20E+11,1.73E+12,1472774
6.20E+11,1.73E+12,1472519
6.20E+11,1.73E+12,1472712
6.20E+11,1.73E+12,1472678
6.20E+11,1.73E+12,1472696
6.20E+11,1.73E+12,1472747
6.20E+11,1.73E+12,1473362
6.20E+11,1.73E+12,1474186
6.20E+11,1.73E+12,1475038
6.20E+11,1.73E+12,1475944
6.20E+11,1.73E+12,1476910
6.20E+11,1.73E+12,1477571
6.20E+11,1.73E+12,1475295
6.20E+11,1.73E+12,1471070
6.20E+11,1.73E+12,1467330
6.20E+11,1.73E+12,1464394
6.21E+11,1.73E+12,1463056
6.21E+11,1.73E+12,1462336
6.21E+11,1.73E+12,1461868
6.21E+11,1.73E+12,1461594
